Cpu_php,Net_In_Global,Disque_write_global,Ram_http,Net_Out_Global,Nb_connection_mysql,Nb_process_php,Cpu_http,Cpu_global,Nb_process_http
29.51,0.02,359.03,3.7,0.03,71.0,101.0,0.36,6.47,324.0
28.73,0.02,328.35,3.9,0.03,19.0,101.0,0.06,6.3,332.0
28.76,0.02,7065.18,4.5,0.03,70.0,101.0,0.92,8.07,396.0
29.09,0.02,2871.67,3.8,0.03,71.0,101.0,0.07,6.94,332.0
29.11,13.08,279.28,4.0,0.07,69.0,103.0,0.55,5.84,350.0
28.84,0.02,366.19,3.9,0.03,14.0,101.0,0.19,9.28,336.0
29.11,0.02,277.62,4.6,0.03,84.0,101.0,0.74,7.77,411.0
29.07,0.02,242.55,3.4,0.03,17.0,101.0,0.08,6.77,287.0
29.19,0.02,322.65,4.1,0.03,67.0,101.0,0.4,12.47,355.0
29.0,0.02,270.04,3.8,0.03,24.0,101.0,0.06,7.66,324.0
28.93,0.02,371.08,4.2,0.03,64.0,101.0,0.46,7.41,371.0
28.89,0.02,391.65,3.5,0.03,17.0,101.0,0.17,7.32,298.0
28.96,0.02,382.43,4.3,0.03,72.0,101.0,1.31,8.56,381.0
28.96,0.02,253.08,3.7,0.03,18.0,101.0,0.08,8.34,320.0
28.94,0.04,2048.87,4.2,0.03,68.0,101.0,0.54,5.57,366.0
28.93,0.02,350.49,3.3,0.03,21.0,101.0,0.14,7.1,282.0
28.93,0.02,341.32,4.5,0.03,80.0,101.0,0.99,9.92,405.0
29.01,0.02,329.58,3.5,0.03,25.0,101.0,0.19,6.02,301.0
28.9,0.02,342.58,4.1,0.03,80.0,101.0,0.77,6.61,354.0
28.88,0.02,314.49,3.1,0.03,31.0,101.0,0.1,5.75,264.0
28.81,0.02,475.19,4.3,0.03,76.0,101.0,1.61,6.14,388.0
28.76,0.02,355.98,3.3,0.03,24.0,101.0,0.16,5.2,279.0
28.7,0.02,286.99,4.3,0.03,66.0,101.0,1.45,8.0,384.0
28.73,0.02,346.74,3.3,0.03,38.0,101.0,0.06,6.29,285.0
28.69,0.02,287.63,4.1,0.03,72.0,101.0,1.3,9.37,362.0
28.68,0.02,289.02,3.7,0.03,32.0,101.0,0.06,7.87,312.0
28.66,0.02,411.98,4.0,0.03,69.0,101.0,1.27,5.27,354.0
28.67,0.02,327.66,3.6,0.03,22.0,101.0,0.07,6.1,311.0
28.6,0.02,266.5,4.5,0.03,73.0,101.0,3.5,5.81,402.0
28.57,0.02,298.3,3.8,0.03,29.0,101.0,0.37,6.41,332.0
28.57,0.02,281.68,4.2,0.03,92.0,101.0,1.78,9.19,364.0
28.6,0.02,205.22,3.7,0.03,28.0,101.0,0.12,12.58,315.0
28.51,0.02,298.97,4.1,0.03,66.0,101.0,1.12,6.02,364.0
28.58,0.02,304.92,3.6,0.03,26.0,101.0,0.23,5.71,309.0
28.51,0.02,450.67,4.2,0.03,66.0,101.0,2.99,15.38,371.0
28.54,0.02,204.86,3.4,0.03,22.0,101.0,0.03,7.22,283.0
28.32,0.02,399.33,3.9,0.03,100.0,101.0,5.54,7.92,342.0
28.21,0.02,203.73,3.8,0.03,19.0,101.0,0.08,18.78,332.0
27.51,0.02,417.3,4.3,0.03,69.0,101.0,3.71,6.5,382.0
27.26,0.02,198.55,3.4,0.03,21.0,101.0,0.05,5.09,295.0
27.33,0.02,365.09,4.1,0.03,61.0,101.0,7.79,5.93,368.0
27.52,0.02,311.84,4.0,0.03,22.0,101.0,0.34,6.59,350.0
27.43,0.02,321.93,4.2,0.03,22.0,101.0,3.6,11.86,373.0
27.61,0.02,287.33,3.8,0.03,20.0,101.0,0.07,5.42,328.0
27.48,0.02,394.87,4.6,0.03,26.0,101.0,2.06,5.12,404.0
27.61,0.02,329.76,4.0,0.03,24.0,101.0,0.17,6.48,349.0
27.44,0.02,303.09,4.6,0.03,23.0,101.0,8.92,5.27,412.0
27.57,0.02,204.13,3.8,0.03,21.0,101.0,0.1,6.33,331.0
27.4,0.02,356.56,4.4,0.03,20.0,101.0,0.25,9.95,390.0
27.52,0.02,215.72,3.3,0.03,30.0,101.0,0.2,6.22,286.0
27.5,0.02,469.72,4.1,0.03,24.0,101.0,7.17,7.77,372.0
27.49,0.02,191.72,3.5,0.03,24.0,101.0,0.12,14.1,304.0
27.65,0.03,537.67,4.5,0.03,30.0,101.0,4.88,15.0,408.0
27.61,0.02,193.78,4.0,0.03,21.0,101.0,0.39,7.76,345.0
27.74,0.02,344.62,4.3,0.03,34.0,101.0,2.5,6.16,383.0
27.77,0.03,271.27,3.8,0.03,22.0,101.0,0.16,6.85,329.0
27.84,0.02,292.03,3.9,0.03,23.0,101.0,0.05,11.8,354.0
27.86,0.02,221.63,3.6,0.03,36.0,101.0,0.28,5.93,306.0
27.99,0.03,366.36,4.3,0.03,25.0,101.0,0.06,10.05,400.0
27.95,0.02,386.81,4.0,0.03,25.0,101.0,0.36,9.27,347.0
28.06,0.02,296.24,3.9,0.03,27.0,101.0,0.04,5.47,384.0
28.07,0.03,394.28,3.9,0.03,25.0,101.0,0.06,5.44,336.0
28.07,0.02,212.05,4.2,0.03,24.0,101.0,0.04,5.05,379.0
28.05,0.02,318.12,3.5,0.03,27.0,101.0,0.08,5.88,297.0
28.11,0.03,238.85,3.6,0.03,36.0,101.0,0.05,5.7,369.0
28.07,0.02,335.35,3.6,0.03,24.0,101.0,0.11,5.26,310.0
28.11,0.02,231.23,3.8,0.03,42.0,101.0,0.04,5.89,371.0
28.07,0.03,342.28,3.3,0.03,29.0,101.0,0.08,6.68,279.0
28.13,0.02,201.47,3.8,0.03,38.0,101.0,0.04,6.27,394.0
28.08,0.02,302.62,3.9,0.03,33.0,101.0,0.23,7.33,329.0
28.14,0.02,204.91,3.6,0.03,40.0,101.0,0.05,8.01,351.0
28.14,0.02,337.01,3.9,0.03,21.0,101.0,0.38,6.25,336.0
28.19,0.02,272.02,3.5,0.03,32.0,101.0,0.05,7.48,381.0
28.15,0.03,364.76,3.1,0.03,29.0,101.0,0.11,6.03,260.0
28.23,0.02,213.82,3.2,0.03,29.0,101.0,0.08,7.59,344.0
28.17,0.02,363.21,3.8,0.03,33.0,101.0,0.14,16.1,321.0
28.24,0.03,300.15,3.2,0.03,29.0,101.0,0.05,6.59,374.0
28.24,0.02,326.12,3.5,0.03,24.0,101.0,0.05,11.89,297.0
28.27,0.02,227.38,3.2,0.03,25.0,101.0,0.04,5.88,373.0
28.26,0.02,332.27,3.6,0.03,25.0,101.0,0.12,5.08,302.0
28.29,0.02,196.81,3.3,0.03,30.0,101.0,0.07,6.43,358.0
28.3,0.02,330.72,3.8,0.03,18.0,101.0,0.16,5.73,326.0
28.35,0.03,225.43,3.5,0.03,34.0,101.0,0.08,7.07,354.0
28.34,0.02,368.54,3.9,0.03,21.0,101.0,0.23,5.44,331.0
28.38,0.03,507.8,3.1,0.04,41.0,101.0,0.09,7.45,400.0
28.38,0.03,391.58,3.8,0.03,19.0,101.0,0.22,5.59,318.0
28.44,0.02,250.75,3.5,0.03,44.0,101.0,0.02,6.42,381.0
28.44,0.02,321.22,4.0,0.03,19.0,101.0,0.36,5.89,341.0
28.46,0.03,222.21,3.1,0.03,32.0,101.0,0.05,6.39,378.0
28.4,0.02,354.86,3.6,0.03,23.0,101.0,0.14,4.94,305.0
28.39,0.02,241.28,3.1,0.03,38.0,101.0,0.03,5.38,359.0
28.36,0.03,380.54,3.6,0.03,17.0,101.0,0.07,4.9,309.0
28.41,0.02,199.94,3.2,0.03,31.0,101.0,0.09,7.6,405.0
28.36,0.02,355.57,3.9,0.03,28.0,101.0,0.08,6.08,331.0
28.36,0.03,201.95,3.2,0.03,41.0,101.0,0.36,9.03,413.0
28.33,0.02,407.8,4.1,0.03,20.0,101.0,0.04,5.77,354.0
28.38,0.03,386.44,3.3,0.03,40.0,101.0,0.04,7.29,328.0
28.39,0.03,345.43,3.6,0.03,29.0,101.0,0.05,10.01,303.0
28.41,0.02,273.75,3.3,0.03,35.0,101.0,0.31,7.65,418.0
28.37,0.02,403.41,3.8,0.03,27.0,101.0,0.07,4.7,320.0
28.41,0.03,219.21,3.3,0.03,32.0,101.0,0.04,8.45,342.0
28.36,0.02,326.18,3.7,0.03,26.0,101.0,0.01,5.42,309.0
28.36,0.02,255.25,3.2,0.03,31.0,101.0,0.23,7.05,351.0
28.29,0.02,369.72,3.0,0.03,20.0,101.0,0.05,6.56,304.0
28.34,0.02,208.76,3.6,0.03,43.0,101.0,0.24,6.87,381.0
28.34,0.02,354.43,3.2,0.03,21.0,101.0,0.02,4.6,326.0
28.34,0.02,235.42,3.7,0.03,40.0,101.0,0.56,6.21,372.0
28.31,0.02,334.34,2.9,0.03,16.0,101.0,0.04,5.43,301.0
28.32,0.03,419.71,3.6,0.04,52.0,101.0,0.13,6.84,360.0
28.37,0.02,633.8,3.1,0.03,27.0,101.0,0.03,6.86,317.0
28.41,0.02,265.21,4.0,0.03,42.0,101.0,0.13,5.47,384.0
28.36,0.02,329.88,3.4,0.03,24.0,101.0,0.07,6.13,347.0
28.36,0.02,274.82,3.4,0.03,39.0,101.0,0.24,8.48,349.0
28.35,0.02,357.23,3.3,0.03,27.0,101.0,0.05,5.87,333.0
28.34,0.03,327.39,3.8,0.03,47.0,101.0,0.31,7.16,388.0
28.35,0.02,409.57,3.5,0.03,24.0,101.0,0.04,6.22,349.0
28.35,0.02,226.14,3.7,0.03,54.0,101.0,0.08,7.59,373.0
28.34,0.02,338.43,3.3,0.03,24.0,101.0,0.04,5.04,340.0
28.41,0.02,270.85,3.5,0.03,44.0,101.0,0.21,7.24,356.0
28.39,0.02,384.44,3.0,0.03,21.0,101.0,0.06,13.74,308.0
28.43,0.02,262.57,3.7,0.03,50.0,101.0,0.29,6.13,367.0
28.41,0.02,396.2,3.3,0.03,23.0,101.0,0.06,7.31,339.0
28.41,0.02,242.8,3.8,0.03,63.0,101.0,0.2,6.36,374.0
28.38,0.02,333.59,3.0,0.03,24.0,101.0,0.05,4.86,311.0
28.39,0.02,239.7,3.7,0.03,68.0,101.0,0.28,7.28,353.0
28.39,0.02,377.44,3.4,0.03,26.0,101.0,0.13,5.48,344.0
28.41,0.02,240.4,4.2,0.03,60.0,101.0,0.36,11.78,369.0
28.42,0.02,350.14,3.1,0.03,21.0,101.0,0.05,5.95,316.0
28.46,0.02,222.81,4.0,0.03,58.0,101.0,0.42,8.78,376.0
28.42,0.02,345.07,3.2,0.03,22.0,101.0,0.07,5.26,331.0
28.46,0.03,300.88,3.9,0.05,65.0,101.0,0.29,8.2,357.0
28.43,0.02,427.71,3.5,0.03,28.0,101.0,0.14,5.75,356.0
28.45,0.03,322.73,4.0,0.03,61.0,101.0,0.12,7.94,373.0
28.46,0.02,367.18,3.5,0.03,19.0,101.0,0.05,6.65,361.0
28.5,0.02,230.33,4.9,0.03,63.0,101.0,0.44,11.06,334.0
28.5,0.02,397.83,3.5,0.03,20.0,101.0,0.07,6.24,352.0
28.49,0.02,263.23,3.9,0.03,52.0,101.0,0.6,7.66,350.0
