FIT101 MV101 0.39547470211982727
MV101 FIT101 0.06091861426830292
MV101 MV304 -0.012567720375955105
P101 FIT201 0.4639517664909363
P101 MV201 0.6588496565818787
P101 P203 0.49958565831184387
MV201 FIT201 0.03718962147831917
MV201 P203 0.0843597799539566
P203 FIT201 0.029872816056013107
DPIT301 MV302 0.17377164959907532
FIT301 DPIT301 0.04795694723725319
FIT301 MV302 0.07527327537536621
FIT301 P602 0.07721605896949768
MV301 MV303 0.2671593725681305
MV301 MV304 0.2232346385717392
MV301 P302 -0.021310938522219658
MV301 FIT601 0.06600124388933182
MV301 P602 -0.1453627198934555
MV302 DPIT301 0.10803680121898651
MV302 FIT301 0.03447779640555382
MV302 MV301 -0.3377401828765869
MV302 MV303 -0.04342902451753616
MV302 P602 -0.25544723868370056
MV303 MV301 0.05692377686500549
MV303 MV302 -0.06297032535076141
MV303 MV304 0.36330342292785645
MV303 P602 -0.10106050223112106
MV304 MV301 -0.010963613167405128
MV304 MV302 0.012428971007466316
MV304 MV303 0.04983371123671532
P301 FIT301 0.08063913881778717
P301 MV302 0.029198188334703445
P302 DPIT301 0.0871029645204544
P302 FIT301 0.30961838364601135
P302 MV302 0.1071307435631752
P302 MV304 -0.2156457006931305
P302 P602 0.045812077820301056
FIT401 FIT501 0.07178568094968796
P402 FIT401 0.1772400140762329
P402 UV401 0.5986519455909729
P402 FIT501 0.2017240971326828
P402 FIT502 0.40549224615097046
P402 FIT503 0.08482910692691803
P402 PIT501 0.17104487121105194
P402 PIT503 0.17208558320999146
UV401 FIT401 0.1973787099123001
UV401 P402 0.17976607382297516
UV401 FIT501 0.16984514892101288
UV401 FIT503 0.10358086228370667
UV401 PIT501 0.14231538772583008
UV401 PIT503 0.17705737054347992
FIT501 FIT401 0.07801421731710434
FIT502 FIT401 0.11926852911710739
FIT502 FIT501 0.128767728805542
FIT504 FIT503 0.025290939956903458
P501 FIT401 0.010337351821362972
P501 FIT502 0.03679569438099861
P501 FIT503 0.07952430099248886
P501 FIT504 0.15613560378551483
PIT501 FIT503 0.09831351041793823
PIT501 PIT503 0.19825541973114014
PIT503 FIT503 0.08883116394281387
PIT503 PIT501 0.2170901894569397
FIT601 MV301 -0.10454244166612625
FIT601 MV303 0.2990916669368744
FIT601 MV304 0.09896188974380493
FIT601 P302 0.010616898536682129
FIT601 P602 0.08369187265634537
P602 MV301 0.6134964823722839
P602 MV303 0.4276314079761505
P602 MV304 0.06762467324733734
P602 P302 0.01025695726275444
P602 FIT601 0.45491430163383484
