Results for Lag = 15,,,,,,,,,,,
,,,,,,,,,,,
F1,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.2927,0.25,0.2308,0.2535,0.2683,0.2,0.2137,0.0512,0.0561,0.0054,0.0039
MVGC,0.0833,0,0.0667,0.2258,0.2192,0.1231,0.163,0.0877,0.0556,TLE,TLE
cLSTM,0.339,0.339,0.25,0.2321,0.25,0.1739,0.1739,0,0.0466,TLE,TLE
cMLP,0.2162,0.1579,0.1481,0.1905,0.1053,0.2247,0.2647,0.0844,0.1172,TLE,TLE
cRNN,0.2222,0.1463,0.2069,0.1905,0.1111,0.2247,0.2941,0.0753,0.1026,TLE,TLE
TCDF,0,0,0,0,0.1053,0.1818,0.2,0,0,TLE,TLE
PCMCI+,0.2727,0,0,0.3,0.2051,0.087,0.0984,TLE,TLE,TLE,TLE
tsFCI,0.2353,0.087,0,0.2,0.1176,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.0714,0.1579,0.2353,0.1852,0.1707,0.2338,0.0722,0.0735,TLE,TLE
DYNOTEARS,0.3636,0.25,0.1538,0.2963,0.36,0.1892,0.2273,0.023,0.156,TLE,TLE
VARLiNGAM,0,0.1333,0.2857,0.2642,0.2368,0.1818,0.1395,0.0618,0.0407,TLE,TLE
TiMINO,0.1538,0.1667,0.1667,0,0,0,0,0.0364,0,TLE,TLE
Sinkhorn,0.3415,0.4091,0.2769,0.2697,0.3143,0.1893,0.2222,0.1818,0.3438,0.1997,0.1279
,,,,,,,,,,,
recall,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.6,0.5,0.6667,0.6429,0.7857,0.8125,0.875,0.7297,1,0.9898,0.9508
MVGC,0.1,0,0.1111,0.5,0.5714,0.5,0.6875,0.7027,0.7619,TLE,TLE
cLSTM,1,1,1,0.9286,1,1,1,0,0.9762,TLE,TLE
cMLP,0.4,0.3,0.2222,0.2857,0.1429,0.625,0.5625,0.2703,0.3571,TLE,TLE
cRNN,0.4,0.3,0.3333,0.2857,0.1429,0.625,0.625,0.3182,0.381,TLE,TLE
TCDF,0,0,0,0,0.0714,0.125,0.125,0,0,TLE,TLE
PCMCI+,0.3,0,0,0.4286,0.2857,0.1875,0.1875,TLE,TLE,TLE,TLE
tsFCI,0.4,0.1,0,0.2143,0.1429,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.1,0.3333,0.4286,0.3571,0.4375,0.5625,0.2703,0.2143,TLE,TLE
DYNOTEARS,0.4,0.2,0.1111,0.5714,0.6429,0.875,0.625,0.027,0.2619,TLE,TLE
VARLiNGAM,0,0.1,0.3333,0.5,0.6429,0.5,0.5625,0.7838,0.2857,TLE,TLE
TiMINO,0.1,0.1,0.1111,0,0,0,0,0.027,0,TLE,TLE
Sinkhorn,0.7,0.9,1,0.8571,0.7857,1,1,0.2703,0.2619,0.1286,0.0722
,,,,,,,,,,,
precision,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.1935,0.1667,0.1395,0.1579,0.1618,0.114,0.1217,0.0265,0.0289,0.0027,0.002
MVGC,0.0714,0,0.0476,0.1458,0.1356,0.0702,0.0924,0.0468,0.0288,TLE,TLE
cLSTM,0.2041,0.2041,0.1429,0.1327,0.1429,0.0952,0.0952,0,0.0239,TLE,TLE
cMLP,0.1481,0.1071,0.1111,0.1429,0.0833,0.137,0.1731,0.05,0.0701,TLE,TLE
cRNN,0.1538,0.0968,0.15,0.1429,0.0909,0.137,0.1923,0.0427,0.0593,TLE,TLE
TCDF,0,0,0,0,0.2,0.3333,0.5,0,0,TLE,TLE
PCMCI+,0.25,0,0,0.2308,0.16,0.0566,0.0667,TLE,TLE,TLE,TLE
tsFCI,0.1667,0.0769,0,0.1875,0.1,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.0556,0.1034,0.1622,0.125,0.1061,0.1475,0.0417,0.0443,TLE,TLE
DYNOTEARS,0.3333,0.3333,0.25,0.2,0.25,0.1061,0.1389,0.02,0.1111,TLE,TLE
VARLiNGAM,0,0.2,0.25,0.1795,0.1452,0.1111,0.0796,0.0322,0.0219,TLE,TLE
TiMINO,0.3333,0.5,0.3333,0,0,0,0,0.0556,0,TLE,TLE
Sinkhorn,0.2258,0.2647,0.1607,0.16,0.1964,0.1046,0.125,0.137,0.5,0.4468,0.5595
