Method,MoM_1,MoM_2,Storm_Ingestion_Activity,Web_1,Web_2,Antivirus_1,Antivirus_2,SWaT,Flood,Bavaira,East_germany
VAR,0.0,0.0,0.01603,0.031327,0.031485,0.031386,0.047848,0.433854,0.4331,37.348824,67.775089
mvgc,0.209961,0.346824,0.194052,4.517984,4.424633,4.832591,5.243433,2064.97216,1265.478585,TLE,TLE
cLSTM,34.630305,38.215079,51.908922,125.737549,165.946695,106.017652,94.09006,TLE,656.060452,TLE,TLE
cMLP,12.724142,14.405027,14.861668,47.477284,47.869622,29.789095,21.949301,359.231995,204.766123,TLE,TLE
cRNN,19.313604,21.269323,29.252282,167.092087,129.713911,66.180244,66.439646,6281.789965,797.464557,TLE,TLE
TCDF,16.38591,16.479211,18.368082,105.656727,105.537226,17.810179,16.723747,585.618466,333.521837,TLE,TLE
pcmci,0.619104,1.328047,7.670363,231.032168,81.343431,39.424242,39.847676,TLE,TLE,TLE,TLE
tsFCI,93.798857,53.463053,1.551612,549.179711,3582.581497,3179.41199,TLE,TLE,TLE,TLE,TLE
pcgce,0.299812,0.607503,1.461721,9.088181,5.622313,38.81945,10.845591,856.834974,81.105596,TLE,TLE
Dynotears,11.554991,12.464838,0.29675,50.848596,365.696888,54.521725,306.680926,3086.131632,516.162961,TLE,TLE
VARLiNGAM,0.320025,0.341961,0.590364,8.944645,9.438381,1.296338,1.244419,2945.256913,55.113083,TLE,TLE
TiMiNo,1.46831,1.479233,2.34235,14.984851,13.570366,7.001677,7.089519,636.869349,78.705314,TLE,TLE
our_method,7.168796,8.598206,7.411622,12.429924,16.377128,7.607306,7.037697,33.780805,18.012646,1498.220792,2521.375082
